,tasks_completed,no_unreachable_locs
0,32,758
1,30,758
2,42,864
3,43,898
4,32,789
5,49,934
6,46,926
7,45,926
8,46,926
9,37,821
10,31,745
11,43,897
12,44,897
13,15,525
14,26,723
15,26,678
16,30,729
17,36,814
18,35,798
19,47,909
20,12,446
21,26,591
22,18,540
23,15,427
24,14,427
25,36,858
26,17,420
27,12,420
28,22,606
29,18,532
30,38,780
31,41,875
32,41,875
33,45,864
34,41,902
35,34,793
36,34,793
37,34,793
38,31,793
39,50,934
40,51,933
41,33,822
42,29,753
43,42,898
44,42,898
45,46,898
46,47,898
47,15,525
48,14,525
49,14,525
50,24,689
51,30,745
52,30,745
53,29,729
54,28,729
55,35,818
56,36,818
57,34,818
58,33,818
59,36,818
60,35,803
61,50,922
62,48,917
63,45,909
64,11,489
65,17,446
66,15,446
67,25,603
68,26,603
69,26,603
70,23,603
71,20,561
72,19,561
73,18,561
74,19,561
75,21,540
76,22,540
77,16,540
78,18,540
79,21,540
80,19,540
81,20,558
82,21,558
83,13,427
84,12,427
85,12,427
86,10,427
87,12,427
88,12,427
89,12,427
90,41,858
91,42,858
92,38,858
93,37,858
94,11,420
95,10,420
96,14,420
97,21,606
98,23,644
99,25,667
100,19,532
101,19,532
102,48,934
103,52,934
104,16,420
105,12,420
106,14,493
107,30,755
108,24,647
109,14,446
110,18,573
111,30,782
112,41,878
113,39,829
114,30,729
115,20,540
116,12,427
117,24,657
118,22,540
119,29,606
120,35,819
121,44,929
122,34,808
123,37,822
124,11,446
125,35,860
126,48,920
127,21,603
128,42,864
129,26,704
130,21,678
131,30,704
132,44,902
133,44,911
134,33,739
135,27,678
136,46,902
137,13,427
138,20,558
139,27,739
140,36,795
141,38,795
142,19,561
143,41,875
144,46,909
145,45,860
146,39,875
147,20,603
148,19,558
149,23,561
150,24,606
151,48,909
152,42,875
153,24,704
154,25,603
155,26,603
156,17,540
157,18,540
158,16,540
159,18,540
